,Model,Score,Cross_Validation_score,Cross_Validation_score.std
1,LogisticRegression,0.9933554817275747,0.9935064935064936,0.03181155510108021
2,SVC,0.9634551495016611,0.9536250017977593,0.08201820949035125
3,KNeighbors,0.9667774086378738,0.963674476132948,0.06423211688228676
4,DecisionTree,0.9933554817275747,0.9966777408637874,0.01627567935404108
5,RandomForest,0.9966777408637874,0.9934309876170342,0.020774962161852248
6,RandomForest2,0.9933554817275747,0.9966777408637874,0.01627567935404108
7,MLPClassifier,0.8870431893687708,0.914063511239591,0.09672713095390943
